,miRNA,disease,label
2308,7,11,1
2330,7,33,1
2338,7,41,1
2347,7,50,1
2350,7,53,1
2356,7,59,1
2358,7,61,1
2360,7,63,1
2380,7,83,1
2389,7,92,1
2390,7,93,1
2407,7,110,1
2416,7,119,1
2417,7,120,1
2423,7,126,1
2439,7,142,1
2442,7,145,1
2456,7,159,1
2460,7,163,1
2477,7,180,1
2483,7,186,1
2488,7,191,1
2516,7,219,1
2533,7,236,1
2536,7,239,1
2544,7,247,1
2550,7,253,1
2552,7,255,1
2565,7,268,1
2566,7,269,1
2578,7,281,1
2579,7,282,1
2601,7,304,1
2604,7,307,1
2611,7,314,1
2614,7,317,1
2625,7,328,1
2638,7,341,1
2642,7,345,1
2645,7,348,1
2646,7,349,1
2659,7,362,1
2661,7,364,1
2683,8,3,1
2708,8,28,1
2720,8,40,1
2721,8,41,1
2730,8,50,1
2736,8,56,1
2739,8,59,1
2743,8,63,1
2762,8,82,1
2766,8,86,1
2772,8,92,1
2773,8,93,1
2799,8,119,1
2800,8,120,1
2806,8,126,1
2839,8,159,1
2844,8,164,1
2849,8,169,1
2885,8,205,1
2917,8,237,1
2933,8,253,1
2937,8,257,1
2962,8,282,1
2966,8,286,1
2984,8,304,1
3008,8,328,1
3044,8,364,1
3050,8,370,1
3057,8,377,1
3066,9,3,1
3069,9,6,1
3074,9,11,1
3098,9,35,1
3104,9,41,1
3113,9,50,1
3124,9,61,1
3126,9,63,1
3127,9,64,1
3128,9,65,1
3153,9,90,1
3155,9,92,1
3156,9,93,1
3170,9,107,1
3183,9,120,1
3189,9,126,1
3208,9,145,1
3210,9,147,1
3218,9,155,1
3222,9,159,1
3236,9,173,1
3273,9,210,1
3282,9,219,1
3289,9,226,1
3299,9,236,1
3304,9,241,1
3315,9,252,1
3316,9,253,1
3318,9,255,1
3325,9,262,1
3332,9,269,1
3345,9,282,1
3359,9,296,1
3365,9,302,1
3370,9,307,1
3384,9,321,1
3391,9,328,1
3399,9,336,1
3406,9,343,1
3427,9,364,1
3440,9,377,1
3441,9,378,1
3446,9,383,1
3449,10,3,1
3452,10,6,1
3457,10,11,1
3481,10,35,1
3487,10,41,1
3490,10,44,1
3496,10,50,1
3499,10,53,1
3500,10,54,1
3505,10,59,1
3507,10,61,1
3509,10,63,1
3510,10,64,1
3511,10,65,1
3532,10,86,1
3536,10,90,1
3537,10,91,1
3538,10,92,1
3539,10,93,1
3566,10,120,1
3569,10,123,1
3572,10,126,1
3591,10,145,1
3593,10,147,1
3605,10,159,1
3609,10,163,1
3619,10,173,1
3620,10,174,1
3631,10,185,1
3635,10,189,1
3652,10,206,1
3665,10,219,1
3682,10,236,1
3683,10,237,1
3687,10,241,1
3698,10,252,1
3699,10,253,1
3700,10,254,1
3708,10,262,1
3715,10,269,1
3728,10,282,1
3736,10,290,1
3748,10,302,1
3750,10,304,1
3753,10,307,1
3773,10,327,1
3774,10,328,1
3782,10,336,1
3793,10,347,1
3794,10,348,1
3801,10,355,1
3810,10,364,1
3812,10,366,1
3823,10,377,1
3824,10,378,1
3826,10,380,1
3829,10,383,1
3832,11,3,1
3837,11,8,1
3863,11,34,1
3888,11,59,1
3890,11,61,1
3892,11,63,1
3895,11,66,1
3898,11,69,1
3922,11,93,1
3949,11,120,1
3955,11,126,1
3992,11,163,1
3998,11,169,1
4003,11,174,1
4007,11,178,1
4011,11,182,1
4014,11,185,1
4039,11,210,1
4048,11,219,1
4065,11,236,1
4068,11,239,1
4069,11,240,1
4070,11,241,1
4079,11,250,1
4090,11,261,1
4100,11,271,1
4111,11,282,1
4131,11,302,1
4136,11,307,1
4148,11,319,1
4159,11,330,1
4169,11,340,1
4176,11,347,1
4184,11,355,1
4185,11,356,1
4193,11,364,1
4215,12,3,1
4242,12,30,1
4243,12,31,1
4244,12,32,1
4250,12,38,1
4262,12,50,1
4271,12,59,1
4273,12,61,1
4277,12,65,1
4304,12,92,1
4319,12,107,1
4338,12,126,1
4357,12,145,1
4371,12,159,1
4381,12,169,1
4410,12,198,1
4417,12,205,1
4422,12,210,1
4424,12,212,1
4428,12,216,1
4431,12,219,1
4441,12,229,1
4452,12,240,1
4453,12,241,1
4457,12,245,1
4465,12,253,1
4472,12,260,1
4473,12,261,1
4481,12,269,1
4484,12,272,1
4494,12,282,1
4502,12,290,1
4509,12,297,1
4514,12,302,1
4519,12,307,1
4523,12,311,1
4529,12,317,1
4530,12,318,1
4540,12,328,1
4550,12,338,1
4565,12,353,1
4568,12,356,1
4589,12,377,1
4598,13,3,1
4600,13,5,1
4601,13,6,1
4606,13,11,1
4612,13,17,1
4627,13,32,1
4634,13,39,1
4645,13,50,1
4648,13,53,1
4654,13,59,1
4656,13,61,1
4658,13,63,1
4660,13,65,1
4687,13,92,1
4688,13,93,1
4692,13,97,1
4726,13,131,1
4740,13,145,1
4742,13,147,1
4758,13,163,1
4766,13,171,1
4775,13,180,1
4801,13,206,1
4805,13,210,1
4807,13,212,1
4811,13,216,1
4817,13,222,1
4826,13,231,1
4835,13,240,1
4836,13,241,1
4840,13,245,1
4844,13,249,1
4848,13,253,1
4855,13,260,1
4856,13,261,1
4864,13,269,1
4877,13,282,1
4892,13,297,1
4897,13,302,1
4899,13,304,1
4902,13,307,1
4905,13,310,1
4906,13,311,1
4912,13,317,1
4914,13,319,1
4923,13,328,1
4931,13,336,1
4951,13,356,1
4957,13,362,1
4959,13,364,1
4960,13,365,1
4973,13,378,1
4981,14,3,1
4984,14,6,1
4985,14,7,1
4990,14,12,1
4991,14,13,1
4992,14,14,1
4994,14,16,1
5003,14,25,1
5004,14,26,1
5006,14,28,1
5012,14,34,1
5013,14,35,1
5016,14,38,1
5019,14,41,1
5024,14,46,1
5027,14,49,1
5028,14,50,1
5031,14,53,1
5033,14,55,1
5036,14,58,1
5037,14,59,1
5038,14,60,1
5039,14,61,1
5041,14,63,1
5042,14,64,1
5043,14,65,1
5045,14,67,1
5046,14,68,1
5047,14,69,1
5048,14,70,1
5060,14,82,1
5061,14,83,1
5068,14,90,1
5070,14,92,1
5071,14,93,1
5073,14,95,1
5076,14,98,1
5080,14,102,1
5081,14,103,1
5083,14,105,1
5085,14,107,1
5086,14,108,1
5094,14,116,1
5097,14,119,1
5101,14,123,1
5104,14,126,1
5105,14,127,1
5110,14,132,1
5113,14,135,1
5114,14,136,1
5123,14,145,1
5124,14,146,1
5125,14,147,1
5130,14,152,1
5132,14,154,1
5137,14,159,1
5140,14,162,1
5141,14,163,1
5149,14,171,1
5154,14,176,1
5158,14,180,1
5163,14,185,1
5164,14,186,1
5166,14,188,1
5169,14,191,1
5170,14,192,1
5176,14,198,1
5183,14,205,1
5184,14,206,1
5187,14,209,1
5188,14,210,1
5194,14,216,1
5202,14,224,1
5205,14,227,1
5210,14,232,1
5214,14,236,1
5215,14,237,1
5218,14,240,1
5219,14,241,1
5221,14,243,1
5224,14,246,1
5230,14,252,1
5231,14,253,1
5233,14,255,1
5235,14,257,1
5238,14,260,1
5239,14,261,1
5240,14,262,1
5242,14,264,1
5247,14,269,1
5249,14,271,1
5250,14,272,1
5251,14,273,1
5253,14,275,1
5254,14,276,1
5260,14,282,1
5263,14,285,1
5268,14,290,1
5271,14,293,1
5272,14,294,1
5274,14,296,1
5278,14,300,1
5280,14,302,1
5281,14,303,1
5282,14,304,1
5285,14,307,1
5297,14,319,1
5301,14,323,1
5306,14,328,1
5308,14,330,1
5312,14,334,1
5314,14,336,1
5316,14,338,1
5323,14,345,1
5325,14,347,1
5333,14,355,1
5335,14,357,1
5340,14,362,1
5342,14,364,1
5348,14,370,1
5354,14,376,1
5355,14,377,1
5356,14,378,1
5358,14,380,1
5361,14,383,1
5365,15,4,1
5372,15,11,1
5387,15,26,1
5390,15,29,1
5411,15,50,1
5420,15,59,1
5422,15,61,1
5426,15,65,1
5427,15,66,1
5430,15,69,1
5446,15,85,1
5453,15,92,1
5454,15,93,1
5456,15,95,1
5472,15,111,1
5480,15,119,1
5481,15,120,1
5503,15,142,1
5520,15,159,1
5522,15,161,1
5524,15,163,1
5530,15,169,1
5532,15,171,1
5546,15,185,1
5547,15,186,1
5567,15,206,1
5597,15,236,1
5614,15,253,1
5625,15,264,1
5627,15,266,1
5630,15,269,1
5632,15,271,1
5636,15,275,1
5640,15,279,1
5642,15,281,1
5663,15,302,1
5665,15,304,1
5671,15,310,1
5689,15,328,1
5693,15,332,1
5700,15,339,1
5703,15,342,1
5725,15,364,1
5727,15,366,1
5731,15,370,1
5738,15,377,1
5748,16,4,1
5750,16,6,1
5755,16,11,1
5770,16,26,1
5773,16,29,1
5778,16,34,1
5779,16,35,1
5780,16,36,1
5794,16,50,1
5809,16,65,1
5810,16,66,1
5813,16,69,1
5837,16,93,1
5855,16,111,1
5870,16,126,1
5903,16,159,1
5905,16,161,1
5907,16,163,1
5929,16,185,1
5930,16,186,1
5931,16,187,1
5950,16,206,1
5971,16,227,1
5977,16,233,1
5980,16,236,1
5997,16,253,1
6008,16,264,1
6010,16,266,1
6015,16,271,1
6020,16,276,1
6045,16,301,1
6046,16,302,1
6048,16,304,1
6072,16,328,1
6076,16,332,1
6086,16,342,1
6110,16,366,1
6121,16,377,1
6131,17,4,1
6162,17,35,1
6163,17,36,1
6177,17,50,1
6186,17,59,1
6188,17,61,1
6192,17,65,1
6219,17,92,1
6220,17,93,1
6269,17,142,1
6290,17,163,1
6312,17,185,1
6313,17,186,1
6314,17,187,1
6359,17,232,1
6363,17,236,1
6367,17,240,1
6391,17,264,1
6398,17,271,1
6403,17,276,1
6429,17,302,1
6431,17,304,1
6434,17,307,1
6437,17,310,1
6450,17,323,1
6455,17,328,1
6459,17,332,1
6466,17,339,1
6491,17,364,1
6496,17,369,1
6497,17,370,1
6504,17,377,1
6505,17,378,1
6514,18,4,1
6521,18,11,1
6526,18,16,1
6541,18,31,1
6542,18,32,1
6543,18,33,1
6545,18,35,1
6548,18,38,1
6552,18,42,1
6560,18,50,1
6561,18,51,1
6569,18,59,1
6571,18,61,1
6573,18,63,1
6575,18,65,1
6586,18,76,1
6591,18,81,1
6602,18,92,1
6603,18,93,1
6606,18,96,1
6615,18,105,1
6617,18,107,1
6627,18,117,1
6633,18,123,1
6636,18,126,1
6652,18,142,1
6653,18,143,1
6655,18,145,1
6659,18,149,1
6679,18,169,1
6688,18,178,1
6692,18,182,1
6701,18,191,1
6703,18,193,1
6726,18,216,1
6729,18,219,1
6734,18,224,1
6746,18,236,1
6747,18,237,1
6748,18,238,1
6749,18,239,1
6750,18,240,1
6751,18,241,1
6762,18,252,1
6763,18,253,1
6768,18,258,1
6771,18,261,1
6772,18,262,1
6779,18,269,1
6783,18,273,1
6791,18,281,1
6792,18,282,1
6801,18,291,1
6809,18,299,1
6814,18,304,1
6817,18,307,1
6823,18,313,1
6831,18,321,1
6835,18,325,1
6838,18,328,1
6840,18,330,1
6841,18,331,1
6848,18,338,1
6865,18,355,1
6866,18,356,1
6869,18,359,1
6874,18,364,1
6880,18,370,1
6886,18,376,1
6887,18,377,1
6888,18,378,1
6897,19,4,1
6899,19,6,1
6904,19,11,1
6925,19,32,1
6926,19,33,1
6928,19,35,1
6929,19,36,1
6935,19,42,1
6943,19,50,1
6944,19,51,1
6946,19,53,1
6952,19,59,1
6953,19,60,1
6954,19,61,1
6956,19,63,1
6958,19,65,1
6961,19,68,1
6968,19,75,1
6982,19,89,1
6983,19,90,1
6985,19,92,1
6986,19,93,1
6987,19,94,1
6992,19,99,1
6995,19,102,1
6997,19,104,1
6998,19,105,1
7005,19,112,1
7011,19,118,1
7012,19,119,1
7019,19,126,1
7026,19,133,1
7031,19,138,1
7034,19,141,1
7038,19,145,1
7042,19,149,1
7044,19,151,1
7052,19,159,1
7056,19,163,1
7064,19,171,1
7069,19,176,1
7073,19,180,1
7078,19,185,1
7079,19,186,1
7084,19,191,1
7085,19,192,1
7088,19,195,1
7091,19,198,1
7095,19,202,1
7099,19,206,1
7105,19,212,1
7109,19,216,1
7110,19,217,1
7112,19,219,1
7115,19,222,1
7117,19,224,1
7119,19,226,1
7129,19,236,1
7130,19,237,1
7133,19,240,1
7134,19,241,1
7135,19,242,1
7136,19,243,1
7137,19,244,1
7139,19,246,1
7146,19,253,1
7154,19,261,1
7155,19,262,1
7161,19,268,1
7162,19,269,1
7163,19,270,1
7164,19,271,1
7174,19,281,1
7175,19,282,1
7192,19,299,1
7197,19,304,1
7200,19,307,1
7206,19,313,1
7212,19,319,1
7216,19,323,1
7230,19,337,1
7256,19,363,1
7257,19,364,1
7259,19,366,1
7263,19,370,1
7269,19,376,1
7270,19,377,1
7271,19,378,1
7275,19,382,1
7280,20,4,1
7313,20,37,1
7335,20,59,1
7421,20,145,1
7461,20,185,1
7515,20,239,1
7547,20,271,1
7550,20,274,1
7665,21,6,1
7675,21,16,1
7709,21,50,1
7718,21,59,1
7752,21,93,1
7766,21,107,1
7778,21,119,1
7844,21,185,1
7875,21,216,1
7895,21,236,1
7912,21,253,1
7914,21,255,1
7921,21,262,1
7938,21,279,1
7941,21,282,1
7963,21,304,1
7965,21,306,1
7966,21,307,1
7982,21,323,1
8012,21,353,1
8023,21,364,1
8048,22,6,1
8076,22,34,1
8080,22,38,1
8101,22,59,1
8103,22,61,1
8107,22,65,1
8133,22,91,1
8134,22,92,1
8135,22,93,1
8139,22,97,1
8187,22,145,1
8189,22,147,1
8211,22,169,1
8222,22,180,1
8234,22,192,1
8278,22,236,1
8294,22,252,1
8295,22,253,1
8297,22,255,1
8324,22,282,1
8349,22,307,1
8370,22,328,1
8382,22,340,1
8384,22,342,1
8406,22,364,1
8416,22,374,1
8431,23,6,1
8475,23,50,1
8478,23,53,1
8484,23,59,1
8488,23,63,1
8490,23,65,1
8517,23,92,1
8518,23,93,1
8545,23,120,1
8557,23,132,1
8570,23,145,1
8572,23,147,1
8588,23,163,1
8657,23,232,1
8661,23,236,1
8677,23,252,1
8682,23,257,1
8696,23,271,1
8706,23,281,1
8707,23,282,1
8715,23,290,1
8729,23,304,1
8732,23,307,1
8766,23,341,1
8789,23,364,1
8795,23,370,1
8802,23,377,1
8814,24,6,1
8819,24,11,1
8841,24,33,1
8843,24,35,1
8858,24,50,1
8867,24,59,1
8869,24,61,1
8871,24,63,1
8873,24,65,1
8876,24,68,1
8890,24,82,1
8898,24,90,1
8899,24,91,1
8900,24,92,1
8901,24,93,1
8903,24,95,1
8905,24,97,1
8913,24,105,1
8915,24,107,1
8928,24,120,1
8934,24,126,1
8950,24,142,1
8971,24,163,1
8981,24,173,1
8999,24,191,1
9006,24,198,1
9010,24,202,1
9027,24,219,1
9044,24,236,1
9045,24,237,1
9048,24,240,1
9060,24,252,1
9061,24,253,1
9063,24,255,1
9065,24,257,1
9070,24,262,1
9078,24,270,1
9079,24,271,1
9084,24,276,1
9090,24,282,1
9112,24,304,1
9115,24,307,1
9118,24,310,1
9128,24,320,1
9129,24,321,1
9136,24,328,1
9172,24,364,1
9178,24,370,1
9185,24,377,1
9186,24,378,1
9188,24,380,1
9197,25,6,1
9202,25,11,1
9241,25,50,1
9250,25,59,1
9252,25,61,1
9254,25,63,1
9284,25,93,1
9311,25,120,1
9315,25,124,1
9338,25,147,1
9354,25,163,1
9427,25,236,1
9431,25,240,1
9443,25,252,1
9473,25,282,1
9555,25,364,1
9580,26,6,1
9593,26,19,1
9624,26,50,1
9633,26,59,1
9635,26,61,1
9637,26,63,1
9719,26,145,1
9790,26,216,1
9827,26,253,1
9836,26,262,1
9855,26,281,1
9856,26,282,1
9878,26,304,1
9884,26,310,1
9902,26,328,1
9938,26,364,1
9944,26,370,1
9963,27,6,1
9981,27,24,1
9990,27,33,1
9992,27,35,1
10007,27,50,1
10016,27,59,1
10049,27,92,1
10050,27,93,1
10076,27,119,1
10099,27,142,1
10104,27,147,1
10247,27,290,1
10261,27,304,1
10280,27,323,1
10285,27,328,1
10346,28,6,1
10348,28,8,1
10351,28,11,1
10356,28,16,1
10375,28,35,1
10380,28,40,1
10390,28,50,1
10391,28,51,1
10394,28,54,1
10399,28,59,1
10401,28,61,1
10431,28,91,1
10432,28,92,1
10433,28,93,1
10460,28,120,1
10464,28,124,1
10485,28,145,1
10487,28,147,1
10503,28,163,1
10506,28,166,1
10507,28,167,1
10520,28,180,1
10525,28,185,1
10550,28,210,1
10552,28,212,1
10556,28,216,1
10558,28,218,1
10559,28,219,1
10562,28,222,1
10576,28,236,1
10577,28,237,1
10580,28,240,1
10581,28,241,1
10584,28,244,1
10585,28,245,1
10588,28,248,1
10592,28,252,1
10593,28,253,1
10595,28,255,1
10600,28,260,1
10601,28,261,1
10606,28,266,1
10609,28,269,1
10610,28,270,1
10621,28,281,1
10622,28,282,1
10630,28,290,1
10636,28,296,1
10642,28,302,1
10644,28,304,1
10647,28,307,1
10654,28,314,1
10658,28,318,1
10661,28,321,1
10663,28,323,1
10668,28,328,1
10681,28,341,1
10691,28,351,1
10693,28,353,1
10704,28,364,1
10713,28,373,1
10714,28,374,1
10717,28,377,1
10718,28,378,1
10720,28,380,1
10729,29,6,1
10731,29,8,1
10757,29,34,1
10761,29,38,1
10773,29,50,1
10782,29,59,1
10788,29,65,1
10792,29,69,1
10816,29,93,1
10868,29,145,1
10870,29,147,1
10882,29,159,1
10892,29,169,1
10914,29,191,1
10939,29,216,1
10942,29,219,1
10944,29,221,1
10950,29,227,1
10959,29,236,1
10975,29,252,1
10992,29,269,1
11005,29,282,1
11008,29,285,1
11025,29,302,1
11030,29,307,1
11037,29,314,1
11044,29,321,1
11051,29,328,1
11052,29,329,1
11064,29,341,1
11076,29,353,1
11087,29,364,1
11099,29,376,1
11100,29,377,1
11112,30,6,1
11156,30,50,1
11159,30,53,1
11160,30,54,1
11162,30,56,1
11165,30,59,1
11167,30,61,1
11171,30,65,1
11199,30,93,1
11225,30,119,1
11236,30,130,1
11253,30,147,1
11269,30,163,1
11270,30,164,1
11279,30,173,1
11285,30,179,1
11286,30,180,1
11319,30,213,1
11342,30,236,1
11358,30,252,1
11359,30,253,1
11361,30,255,1
11388,30,282,1
11410,30,304,1
11412,30,306,1
11413,30,307,1
11427,30,321,1
11429,30,323,1
11434,30,328,1
11445,30,339,1
11462,30,356,1
11470,30,364,1
11483,30,377,1
11484,30,378,1
11495,31,6,1
11539,31,50,1
11542,31,53,1
11543,31,54,1
11545,31,56,1
11548,31,59,1
11550,31,61,1
11582,31,93,1
11608,31,119,1
11615,31,126,1
11619,31,130,1
11634,31,145,1
11636,31,147,1
11653,31,164,1
11669,31,180,1
11725,31,236,1
11741,31,252,1
11742,31,253,1
11791,31,302,1
11793,31,304,1
11795,31,306,1
11796,31,307,1
11804,31,315,1
11816,31,327,1
11817,31,328,1
11828,31,339,1
11853,31,364,1
11859,31,370,1
11866,31,377,1
11878,32,6,1
11880,32,8,1
11922,32,50,1
11931,32,59,1
11964,32,92,1
11969,32,97,1
11979,32,107,1
12108,32,236,1
12125,32,253,1
12154,32,282,1
12176,32,304,1
12179,32,307,1
12200,32,328,1
12236,32,364,1
12242,32,370,1
12261,33,6,1
12266,33,11,1
12296,33,41,1
12308,33,53,1
12314,33,59,1
12347,33,92,1
12363,33,108,1
12368,33,113,1
12381,33,126,1
12390,33,135,1
12418,33,163,1
12460,33,205,1
12491,33,236,1
12492,33,237,1
12515,33,260,1
12518,33,263,1
12541,33,286,1
12559,33,304,1
12562,33,307,1
12593,33,338,1
12596,33,341,1
12619,33,364,1
12632,33,377,1
12644,34,6,1
12650,34,12,1
12674,34,36,1
12676,34,38,1
12688,34,50,1
12699,34,61,1
12757,34,119,1
12761,34,123,1
12797,34,159,1
12805,34,167,1
12857,34,219,1
12879,34,241,1
12890,34,252,1
12891,34,253,1
12917,34,279,1
12920,34,282,1
12942,34,304,1
12966,34,328,1
13002,34,364,1
13016,34,378,1
13027,35,6,1
13032,35,11,1
13071,35,50,1
13114,35,93,1
13140,35,119,1
13141,35,120,1
13252,35,231,1
13274,35,253,1
13281,35,260,1
13325,35,304,1
13328,35,307,1
13349,35,328,1
13359,35,338,1
13385,35,364,1
13399,35,378,1
13410,36,6,1
13414,36,10,1
13415,36,11,1
13420,36,16,1
13431,36,27,1
13432,36,28,1
13454,36,50,1
13463,36,59,1
13467,36,63,1
13469,36,65,1
13473,36,69,1
13497,36,93,1
13520,36,116,1
13549,36,145,1
13551,36,147,1
13563,36,159,1
13565,36,161,1
13567,36,163,1
13620,36,216,1
13643,36,239,1
13645,36,241,1
13657,36,253,1
13666,36,262,1
13675,36,271,1
13680,36,276,1
13706,36,302,1
13732,36,328,1
13757,36,353,1
13768,36,364,1
13775,36,371,1
13781,36,377,1
13793,37,6,1
13828,37,41,1
13837,37,50,1
13840,37,53,1
13843,37,56,1
13846,37,59,1
13850,37,63,1
13880,37,93,1
13895,37,108,1
13906,37,119,1
13907,37,120,1
13913,37,126,1
13929,37,142,1
13936,37,149,1
13951,37,164,1
13956,37,169,1
13969,37,182,1
13994,37,207,1
14014,37,227,1
14019,37,232,1
14023,37,236,1
14024,37,237,1
14027,37,240,1
14040,37,253,1
14041,37,254,1
14044,37,257,1
14069,37,282,1
14073,37,286,1
14091,37,304,1
14094,37,307,1
14115,37,328,1
14151,37,364,1
14157,37,370,1
14164,37,377,1
14165,37,378,1
14176,38,6,1
14179,38,9,1
14180,38,10,1
14181,38,11,1
14211,38,41,1
14220,38,50,1
14223,38,53,1
14226,38,56,1
14229,38,59,1
14231,38,61,1
14233,38,63,1
14252,38,82,1
14262,38,92,1
14263,38,93,1
14267,38,97,1
14278,38,108,1
14279,38,109,1
14289,38,119,1
14290,38,120,1
14312,38,142,1
14315,38,145,1
14317,38,147,1
14319,38,149,1
14334,38,164,1
14339,38,169,1
14397,38,227,1
14406,38,236,1
14407,38,237,1
14410,38,240,1
14423,38,253,1
14452,38,282,1
14456,38,286,1
14474,38,304,1
14477,38,307,1
14496,38,326,1
14498,38,328,1
14534,38,364,1
14540,38,370,1
14541,38,371,1
14547,38,377,1
14559,39,6,1
14564,39,11,1
14594,39,41,1
14603,39,50,1
14606,39,53,1
14612,39,59,1
14614,39,61,1
14616,39,63,1
14618,39,65,1
14635,39,82,1
14645,39,92,1
14646,39,93,1
14650,39,97,1
14661,39,108,1
14672,39,119,1
14673,39,120,1
14679,39,126,1
14695,39,142,1
14712,39,159,1
14716,39,163,1
14717,39,164,1
14722,39,169,1
14735,39,182,1
14758,39,205,1
14789,39,236,1
14790,39,237,1
14792,39,239,1
14793,39,240,1
14796,39,243,1
14806,39,253,1
14810,39,257,1
14835,39,282,1
14857,39,304,1
14860,39,307,1
14881,39,328,1
14917,39,364,1
14923,39,370,1
14930,39,377,1
14942,40,6,1
14945,40,9,1
14946,40,10,1
14947,40,11,1
14968,40,32,1
14977,40,41,1
14986,40,50,1
14988,40,52,1
14995,40,59,1
14999,40,63,1
15001,40,65,1
15029,40,93,1
15056,40,120,1
15059,40,123,1
15060,40,124,1
15062,40,126,1
15095,40,159,1
15142,40,206,1
15155,40,219,1
15158,40,222,1
15160,40,224,1
15172,40,236,1
15176,40,240,1
15188,40,252,1
15189,40,253,1
15193,40,257,1
15196,40,260,1
15243,40,307,1
15264,40,328,1
15266,40,330,1
15313,40,377,1
15314,40,378,1
15325,41,6,1
15369,41,50,1
15382,41,63,1
15438,41,119,1
15466,41,147,1
15478,41,159,1
15482,41,163,1
15504,41,185,1
15523,41,204,1
15572,41,253,1
15601,41,282,1
15606,41,287,1
15609,41,290,1
15626,41,307,1
15647,41,328,1
15658,41,339,1
15683,41,364,1
15708,42,6,1
15752,42,50,1
15755,42,53,1
15761,42,59,1
15763,42,61,1
15765,42,63,1
15767,42,65,1
15794,42,92,1
15821,42,119,1
15828,42,126,1
15829,42,127,1
15847,42,145,1
15861,42,159,1
15865,42,163,1
15882,42,180,1
15908,42,206,1
15924,42,222,1
15938,42,236,1
15939,42,237,1
15955,42,253,1
15959,42,257,1
15983,42,281,1
15984,42,282,1
15988,42,286,1
16012,42,310,1
16030,42,328,1
16077,42,375,1
16079,42,377,1
16080,42,378,1
16091,43,6,1
16101,43,16,1
16105,43,20,1
16107,43,22,1
16125,43,40,1
16135,43,50,1
16136,43,51,1
16138,43,53,1
16144,43,59,1
16150,43,65,1
16177,43,92,1
16178,43,93,1
16205,43,120,1
16211,43,126,1
16230,43,145,1
16232,43,147,1
16251,43,166,1
16252,43,167,1
16256,43,171,1
16265,43,180,1
16270,43,185,1
16295,43,210,1
16297,43,212,1
16301,43,216,1
16303,43,218,1
16304,43,219,1
16307,43,222,1
16321,43,236,1
16322,43,237,1
16325,43,240,1
16326,43,241,1
16329,43,244,1
16330,43,245,1
16333,43,248,1
16337,43,252,1
